YBR095C,nucleus
YBR096W,ER
YBR097W,endosome
YBR100W,cytoplasm,nucleus
YBR101C,cytoplasm
YBR102C,bud neck,cell periphery,bud
YBR103W,nucleus
YBR104W,mitochondrion
YBR105C,cytoplasm,nucleus
YBR106W,ER
YBR107C,nucleus,spindle pole
YBR109C,bud neck,cell periphery,bud
YBR110W,ER
YBR111C,cytoplasm,nucleus
YBR112C,nucleus
YBR114W,cytoplasm,nucleus
YBR115C,cytoplasm
YBR117C,cytoplasm,nucleus
YBR118W,cytoplasm
YBR119W,nucleus
YBR120C,mitochondrion
YBR121C,cytoplasm
YBR122C,mitochondrion
YBR123C,nucleus
YBR125C,cytoplasm
YBR126C,cytoplasm
YBR127C,vacuolar membrane
YBR129C,cytoplasm
YBR130C,cytoplasm,cell periphery,bud
YBR131W,endosome
YBR132C,ER
YBR133C,bud neck,cytoplasm
YBR135W,cytoplasm,nucleus
YBR137W,cytoplasm
YBR138C,cytoplasm
YBR139W,vacuole
YBR140C,cytoplasm
YBR141C,nucleolus
YBR142W,nucleolus,nucleus
YBR143C,cytoplasm
YBR145W,cytoplasm,nucleus
YBR149W,cytoplasm,nucleus
YBR150C,cytoplasm,nucleus
YBR151W,cytoplasm,nucleus
YBR152W,nucleus
YBR155W,cytoplasm
YBR156C,nucleus,microtubule
YBR158W,cytoplasm,nucleus
YBR159W,ER
YBR160W,cytoplasm,nucleus
YBR161W,vacuole
YBR162C,vacuole
YBR162W-A,ER
YBR163W,mitochondrion
YBR164C,punctate composite,early Golgi
YBR166C,cytoplasm
YBR167C,nucleus
YBR169C,cytoplasm
YBR170C,cytoplasm,nucleus
YBR171W,ER
YBR172C,cytoplasm
YBR173C,cytoplasm,nucleus
YBR175W,cytoplasm,nucleus
YBR176W,mitochondrion
YBR177C,ER
YBR179C,mitochondrion
YBR181C,cytoplasm
YBR185C,mitochondrion
YBR187W,vacuole
YBR188C,nucleus
YBR189W,cytoplasm
YBR191W,cytoplasm
YBR194W,nucleus
YBR195C,cytoplasm,nucleus
YBR196C,cytoplasm
YBR197C,cytoplasm,nucleus
YBR198C,nucleus
YBR199W,vacuole
YBR200W,bud neck,cell periphery,bud
YBR202W,cytoplasm,nucleus
YBR205W,vacuole
YBR207W,vacuolar membrane
YBR208C,cytoplasm
YBR211C,spindle pole
YBR212W,cytoplasm
YBR214W,cytoplasm
YBR215W,nucleus
YBR216C,cytoplasm
YBR218C,cytoplasm
