289,YNL141W,AAH1
12,YBL074C,AAR2
128,YMR072W,ABF2
194,YCR088W,ABP1
88,YDL203C,ACK1
9,YFL039C,ACT1
7,YDR448W,ADA2
168,YKL206C,ADD66
2,YLR359W,ADE13
180,YLR028C,ADE16
180,YMR120C,ADE17
31,YOL086C,ADH1
31,YMR303C,ADH2
257,YER017C,AFG3
91,YIL079C,AIR1
91,YDL175C,AIR2
192,YDR264C,AKR1
172,YJL122W,ALB1
308,YMR170C,ALD2
308,YMR169C,ALD3
129,YNL270C,ALP1
80,YJL084C,ALY2
209,YML035C,AMD1
24,YBR211C,AME1
181,YGL156W,AMS1
36,YEL036C,ANP1
201,YPR180W,AOS1
23,YNL172W,APC1
377,YDL008W,APC11
23,YLR127C,APC2
23,YDR118W,APC4
23,YOR249C,APC5
23,YLR102C,APC9
68,YKL135C,APL2
129,YBL037W,APL3
68,YPR029C,APL4
99,YPL195W,APL5
99,YGR261C,APL6
68,YPL259C,APM1
68,YHL019C,APM2
99,YBR288C,APM3
129,YOL062C,APM4
194,YNL094W,APP1
68,YLR170C,APS1
129,YJR058C,APS2
99,YJL024C,APS3
137,YGL105W,ARC1
46,YIL062C,ARC15
46,YLR370C,ARC18
46,YKL013C,ARC19
46,YNR035C,ARC35
46,YBR234C,ARC40
69,YHR013C,ARD1
242,YDL192W,ARF1
242,YDL137W,ARF2
7,YHL047C,ARN2
102,YHR137W,ARO9
46,YDL029W,ARP2
46,YJR065C,ARP3
9,YJL081C,ARP4
9,YNL059C,ARP5
9,YLR085C,ARP6
6,YPR034W,ARP7
9,YOR141C,ARP8
6,YMR033W,ARP9
172,YDR101C,ARX1
17,YJL115W,ASF1
41,YKL052C,ASK1
258,YPR145W,ASN1
258,YGR124W,ASN2
105,YPR049C,ATG11
105,YLR423C,ATG17
236,YFR021W,ATG18
181,YOL082W,ATG19
236,YNL242W,ATG2
105,YPL166W,ATG29
185,YBL099W,ATP1
185,YNL315C,ATP11
274,YJL180C,ATP12
185,YJR121W,ATP2
329,YDR298C,ATP5
329,YKL016C,ATP7
29,YEL064C,AVT2
315,YJR148W,BAT2
146,YMR237W,BCH1
146,YKR027W,BCH2
175,YDR361C,BCP1
97,YIL033C,BCY1
9,YLR399C,BDF1
380,YAL060W,BDH1
356,YPR176C,BET2
