YDR519W,ER,
YGR175C,ER,
YPR159W,vacuole,
YNL268W,cell periphery,
YNL268W,vacuole,
YML031W,nuclear periphery,
YLR067C,mitochondrion,inner
YLR067C,punctate composite,
YOR270C,vacuolar membrane,
YDR011W,cell periphery,
YDR410C,ER,
YDR323C,endosome,
YEL042W,Golgi,
YEL040W,ER,
YEL036C,Golgi,
YER166W,late Golgi,
YBL011W,ER,
YOR316C,vacuolar membrane,
YLR083C,vacuole,
YGL200C,punctate composite,
YGL255W,ER,
YDR375C,mitochondrion,inner
YPL234C,ER,
YPR055W,bud,
YPR055W,bud neck,
YPR055W,cell periphery,
YPR055W,cytoplasm,
YPL232W,lipid particle,
YDL174C,mitochondrion,inner
YNR017W,mitochondrion,inner
YHR149C,bud,
YHR149C,bud neck,
YHR149C,cell periphery,
YHR149C,cytoplasm,
YKR093W,cell periphery,
YKR093W,vacuole,
YCR024C-A,cell periphery,
YCR024C-A,vacuole,
YJR131W,ER,
YOR132W,endosome,
YLR378C,ER,
YER100W,ER,
YPL057C,vacuole,
YOR153W,cell periphery,
YLR188W,mitochondrion,inner
YPL270W,mitochondrion,inner
YOR327C,vacuole,
YDL052C,ER,
YNL243W,punctate composite,
YOR045W,mitochondrion,outer
YBR171W,ER,
YNL329C,peroxisome,
YEL002C,ER,
YDL095W,ER,
YGL145W,ER,
YJL154C,endosome,
YJL154C,vacuolar membrane,
YKL140W,punctate composite,
YDR461W,cytoplasm,
YDR461W,nucleus,
YBL059W,mitochondrion,
YBL061C,bud neck,
YBL061C,cytoplasm,
YBL061C,nucleus,
YKL179C,lipid particle,
YFR019W,vacuolar membrane,
YDR244W,peroxisome,
YDR086C,ER,
YGR082W,mitochondrion,outer
YBL069W,cytoplasm,
YBL069W,nucleus,
YOL082W,punctate composite,
YBR002C,ER,
YBR036C,ER,
YBR036C,vacuole,
YKL065C,ER,
YKL051W,cell periphery,
YKL135C,late Golgi,
YOR089C,cytoplasm,
YOR089C,nucleus,
YKR014C,cytoplasm,
YKR014C,nucleus,
YLR332W,cell periphery,
YKR103W,cytoplasm,
YKR103W,nucleus,
YKL195W,mitochondrion,inner
YKL165C,vacuole,
YKL154W,ER,
YKL150W,mitochondrion,outer
YKL146W,ER,
YKL047W,cytoplasm,
YKL046C,bud,
YKL046C,ER,
YKL041W,endosome,
YKL041W,punctate composite,
YKL033W,cytoplasm,
YKL004W,early Golgi,
YKL002W,endosome,
YKR020W,punctate composite,
YKR027W,late Golgi,
YKR044W,cytoplasm,
YKR046C,lipid particle,
YKR065C,mitochondrion,inner
YKR067W,ER,
YKR087C,mitochondrion,inner
YKR088C,early Golgi,
YKR088C,endosome,
YKR088C,late Golgi,
