marcotte289,marcotte,YBR280C
marcotte289,marcotte,YNL141W
marcotte12,marcotte,YBL074C
marcotte12,marcotte,YHR165C
marcotte12,marcotte,YER172C
marcotte12,marcotte,YPR082C
marcotte12,marcotte,YJR022W
marcotte12,marcotte,YPL213W
marcotte12,marcotte,YDL043C
marcotte12,marcotte,YJL203W
marcotte12,marcotte,YDR473C
marcotte12,marcotte,YPR178W
marcotte12,marcotte,YGR091W
marcotte12,marcotte,YBR055C
marcotte12,marcotte,YBR152W
marcotte12,marcotte,YKL173W
marcotte12,marcotte,YDL030W
marcotte12,marcotte,YML049C
marcotte12,marcotte,YOR308C
marcotte12,marcotte,YGR075C
marcotte12,marcotte,YDL098C
marcotte12,marcotte,YFL017W-A
marcotte128,marcotte,YBL002W
marcotte128,marcotte,YBL003C
marcotte128,marcotte,YBR010W
marcotte128,marcotte,YMR072W
marcotte194,marcotte,YCR088W
marcotte194,marcotte,YDR129C
marcotte194,marcotte,YNL094W
marcotte88,marcotte,YLR371W
marcotte88,marcotte,YBR011C
marcotte88,marcotte,YLR425W
marcotte88,marcotte,YDL203C
marcotte88,marcotte,YPL066W
marcotte9,marcotte,YFL039C
marcotte9,marcotte,YJL081C
marcotte9,marcotte,YDL002C
marcotte9,marcotte,YGL150C
marcotte9,marcotte,YER092W
marcotte9,marcotte,YDR190C
marcotte9,marcotte,YPL235W
marcotte9,marcotte,YHR090C
marcotte9,marcotte,YAL011W
marcotte9,marcotte,YDR334W
marcotte9,marcotte,YLR399C
marcotte9,marcotte,YBR231C
marcotte9,marcotte,YGR002C
marcotte9,marcotte,YLR385C
marcotte9,marcotte,YML041C
marcotte9,marcotte,YNL107W
marcotte9,marcotte,YLR052W
marcotte9,marcotte,YDR485C
marcotte9,marcotte,YLR085C
marcotte9,marcotte,YFL013C
marcotte9,marcotte,YNL059C
marcotte9,marcotte,YOR141C
marcotte7,marcotte,YDR448W
marcotte7,marcotte,YGR252W
marcotte7,marcotte,YDR145W
marcotte7,marcotte,YDR392W
marcotte7,marcotte,YGL112C
marcotte7,marcotte,YPL254W
marcotte7,marcotte,YBR198C
marcotte7,marcotte,YHR099W
marcotte7,marcotte,YOL148C
marcotte7,marcotte,YLR055C
marcotte7,marcotte,YDR167W
marcotte7,marcotte,YMR236W
marcotte7,marcotte,YDR176W
marcotte7,marcotte,YGR274C
marcotte7,marcotte,YBR081C
marcotte7,marcotte,YML098W
marcotte7,marcotte,YPL011C
marcotte7,marcotte,YML015C
marcotte7,marcotte,YMR227C
marcotte7,marcotte,YMR005W
