_group407.mitochondrion,_group407.unknown
_group419.cytoplasm,_group419.bud neck
_group419.bud neck,_group419.bud
_group452.cytoplasm,_group452.nucleolus
_group455.cytoplasm,_group455.nucleus
_group458.cytoplasm,_group458.late Golgi
_group458.late Golgi,_group458.unknown
_group463.mitochondrion,_group463.unknown
_group464.cytoplasm,_group464.bud neck
_group467.mitochondrion,_group467.unknown
_group468.cytoplasm,_group468.nucleus
_group468.nucleus,_group468.mitochondrion
_group468.mitochondrion,_group468.late Golgi
_group468.late Golgi,_group468.bud neck
_group468.bud neck,_group468.bud
_group468.bud,_group468.punctate composite
_group468.punctate composite,_group468.unknown
_group469.cytoplasm,_group469.nucleus
_group469.nucleus,_group469.bud neck
_group469.bud neck,_group469.bud
_group479.cytoplasm,_group479.nucleus
_group479.nucleus,_group479.bud neck
_group479.bud neck,_group479.cell periphery
_group479.cell periphery,_group479.nuclear periphery
_group479.nuclear periphery,_group479.unknown
_group482.cytoplasm,_group482.nucleus
_group482.nucleus,_group482.unknown
_group487.cytoplasm,_group487.nucleus
_group487.nucleus,_group487.ER
_group487.ER,_group487.unknown
_group492.cytoplasm,_group492.nucleus
_group492.nucleus,_group492.vacuole
_group492.vacuole,_group492.actin
_group492.actin,_group492.unknown
_group494.cytoplasm,_group494.nucleus
_group494.nucleus,_group494.spindle pole
_group494.spindle pole,_group494.punctate composite
_group494.punctate composite,_group494.microtubule
_group494.microtubule,_group494.unknown
_group502.cytoplasm,_group502.nucleus
_group502.nucleus,_group502.unknown
_group504.punctate composite,_group504.actin
_group508.cytoplasm,_group508.nucleus
_group508.nucleus,_group508.unknown
_group510.ER,_group510.mitochondrion
_group510.mitochondrion,_group510.vacuole
_group513.cytoplasm,_group513.nucleus
_group513.nucleus,_group513.unknown
_group521.cytoplasm,_group521.nucleus
_group521.nucleus,_group521.mitochondrion
_group521.mitochondrion,_group521.actin
_group521.actin,_group521.unknown
_group522.cytoplasm,_group522.nucleus
_group524.cytoplasm,_group524.nucleus
_group524.nucleus,_group524.early Golgi
_group524.early Golgi,_group524.Golgi
_group524.Golgi,_group524.unknown
_group526.cytoplasm,_group526.nucleus
_group526.nucleus,_group526.nucleolus
_group526.nucleolus,_group526.unknown
_group527.cytoplasm,_group527.nucleus
_group530.cytoplasm,_group530.nucleus
_group530.nucleus,_group530.mitochondrion
_group530.mitochondrion,_group530.unknown
_group535.cytoplasm,_group535.mitochondrion
_group535.mitochondrion,_group535.cell periphery
_group535.cell periphery,_group535.unknown
_group537.cytoplasm,_group537.nucleus
_group537.nucleus,_group537.late Golgi
_group537.late Golgi,_group537.bud neck
_group537.bud neck,_group537.cell periphery
_group537.cell periphery,_group537.spindle pole
_group537.spindle pole,_group537.punctate composite
_group537.punctate composite,_group537.nucleolus
_group537.nucleolus,_group537.unknown
_group55.cytoplasm,_group55.nucleus
_group55.nucleus,_group55.ER
_group55.ER,_group55.bud neck
_group55.bud neck,_group55.nucleolus
_group55.nucleolus,_group55.unknown
_group556.cytoplasm,_group556.nucleus
_group556.nucleus,_group556.unknown
_group563.nucleus,_group563.spindle pole
_group563.spindle pole,_group563.microtubule
_group563.microtubule,_group563.unknown
_group581.cytoplasm,_group581.nucleus
_group582.cytoplasm,_group582.nucleus
_group582.nucleus,_group582.mitochondrion
_group582.mitochondrion,_group582.punctate composite
_group582.punctate composite,_group582.unknown
_group583.ER,_group583.punctate composite
_group583.punctate composite,_group583.nuclear periphery
_group594.cytoplasm,_group594.unknown
_group599.cytoplasm,_group599.unknown
_group600.cytoplasm,_group600.nucleus
_group600.nucleus,_group600.unknown
_group612.cell periphery,_group612.vacuole
_group616.early Golgi,_group616.late Golgi
_group621.cytoplasm,_group621.nucleus
_group621.nucleus,_group621.unknown
_group626.cytoplasm,_group626.mitochondrion
_group629.cytoplasm,_group629.nucleus
_group630.cytoplasm,_group630.nucleus
_group630.nucleus,_group630.unknown
_group632.mitochondrion,_group632.cell periphery
_group650.cytoplasm,_group650.punctate composite
_group650.punctate composite,_group650.peroxisome
_group650.peroxisome,_group650.unknown
_group655.ER,_group655.lipid particle
_group657.mitochondrion,_group657.unknown
_group673.cytoplasm,_group673.nucleus
_group673.nucleus,_group673.bud
_group673.bud,_group673.spindle pole
_group673.spindle pole,_group673.nucleolus
_group673.nucleolus,_group673.microtubule
_group673.microtubule,_group673.unknown
_group680.cytoplasm,_group680.ER
_group680.ER,_group680.unknown
_group701.cytoplasm,_group701.nucleus
_group701.nucleus,_group701.ER
_group701.ER,_group701.late Golgi
_group701.late Golgi,_group701.cell periphery
_group701.cell periphery,_group701.bud
_group701.bud,_group701.vacuole
_group701.vacuole,_group701.ER to Golgi
_group701.ER to Golgi,_group701.unknown
_group702.cytoplasm,_group702.unknown
_group708.mitochondrion,_group708.punctate composite
_group708.punctate composite,_group708.unknown
_group712.bud neck,_group712.cell periphery
_group713.nucleus,_group713.nucleolus
_group714.endosome,_group714.punctate composite
_group714.punctate composite,_group714.vacuolar membrane
_group718.cytoplasm,_group718.nucleus
_group719.cell periphery,_group719.unknown
_group722.nucleus,_group722.nucleolus
_group737.cytoplasm,_group737.bud neck
_group737.bud neck,_group737.cell periphery
_group738.cytoplasm,_group738.nucleus
_group741.cytoplasm,_group741.nucleus
_group741.nucleus,_group741.unknown
_group749.cytoplasm,_group749.nucleus
_group766.endosome,_group766.vacuolar membrane
_group772.early Golgi,_group772.Golgi
_group773.ER,_group773.unknown
_group785.cytoplasm,_group785.mitochondrion
_group787.cytoplasm,_group787.nucleus
_group787.nucleus,_group787.nuclear periphery
_group787.nuclear periphery,_group787.nucleolus
_group787.nucleolus,_group787.unknown
_group794.early Golgi,_group794.Golgi
_group794.Golgi,_group794.unknown
_group797.mitochondrion,_group797.early Golgi
_group797.early Golgi,_group797.late Golgi
_group801.nucleus,_group801.mitochondrion
_group807.nucleus,_group807.unknown
_group819.mitochondrion,_group819.unknown
_group826.mitochondrion,_group826.unknown
