YML064C,YMR055C,b_biochemicalactivity,44007,1
YMR055C,YML064C,b_biochemicalactivity,44008,1
YML064C,YMR055C,b_reconstitutedcomplex,44009,2
YMR055C,YML064C,b_reconstitutedcomplex,44010,2
YML064C,YMR055C,b_unknown,44011,1
YMR055C,YML064C,b_unknown,44012,1
YML064C,YPL242C,b_affinitycapturewestern,44013,1
YPL242C,YML064C,b_affinitycapturewestern,44014,1
YML064C,YPL242C,b_reconstitutedcomplex,44015,1
YPL242C,YML064C,b_reconstitutedcomplex,44016,1
YML065W,YNL261W,b_affinitycapturems,44017,3
YNL261W,YML065W,b_affinitycapturems,44018,3
YML065W,YNL261W,b_affinitycapturewestern,44019,2
YNL261W,YML065W,b_affinitycapturewestern,44020,2
YML065W,YNL261W,b_reconstitutedcomplex,44021,1
YNL261W,YML065W,b_reconstitutedcomplex,44022,1
YML065W,YPR162C,b_affinitycapturems,44023,3
YPR162C,YML065W,b_affinitycapturems,44024,3
YML065W,YPR162C,b_affinitycapturewestern,44025,2
YPR162C,YML065W,b_affinitycapturewestern,44026,2
YML065W,YPR162C,b_reconstitutedcomplex,44027,1
YPR162C,YML065W,b_reconstitutedcomplex,44028,1
YML069W,YML010W,b_affinitycapturems,44029,1
YML010W,YML069W,b_affinitycapturems,44030,1
YML069W,YNL102W,b_affinitycapturewestern,44031,1
YNL102W,YML069W,b_affinitycapturewestern,44032,1
YML069W,YNL102W,b_reconstitutedcomplex,44033,1
YNL102W,YML069W,b_reconstitutedcomplex,44034,1
YML069W,YNL102W,b_unknown,44035,1
YNL102W,YML069W,b_unknown,44036,1
YML069W,YOL145C,b_affinitycapturems,44037,2
YOL145C,YML069W,b_affinitycapturems,44038,2
YML069W,YOR123C,b_affinitycapturems,44039,4
YOR123C,YML069W,b_affinitycapturems,44040,4
YML071C,YNL041C,b_affinitycapturems,44041,3
YNL041C,YML071C,b_affinitycapturems,44042,3
YML071C,YNL041C,b_affinitycapturewestern,44043,1
YNL041C,YML071C,b_affinitycapturewestern,44044,1
YML071C,YNL051W,b_affinitycapturems,44045,2
YNL051W,YML071C,b_affinitycapturems,44046,2
YML071C,YNL051W,b_affinitycapturewestern,44047,1
YNL051W,YML071C,b_affinitycapturewestern,44048,1
YML071C,YPR105C,b_affinitycapturems,44049,2
YPR105C,YML071C,b_affinitycapturems,44050,2
YML074C,YOR340C,b_affinitycapturewestern,44051,1
YOR340C,YML074C,b_affinitycapturewestern,44052,1
YML074C,YOR340C,b_copurification,44053,1
YOR340C,YML074C,b_copurification,44054,1
YML074C,YPR073C,b_affinitycapturewestern,44055,1
YPR073C,YML074C,b_affinitycapturewestern,44056,1
YML074C,YPR073C,b_biochemicalactivity,44057,1
YPR073C,YML074C,b_biochemicalactivity,44058,1
YML074C,YPR073C,b_reconstitutedcomplex,44059,1
Q0045,Q0250,b_cofractionation,16783,1
Q0045,Q0250,b_insilico,16785,1
Q0045,Q0275,b_cofractionation,16787,1
Q0045,Q0275,b_insilico,16789,1
YAL001C,YBR123C,b_affinitycapturems,16791,3
YAL001C,YBR123C,b_affinitycapturewestern,16793,2
YAL001C,YBR123C,b_cofractionation,16795,1
YAL001C,YDR362C,b_affinitycapturems,16797,1
YAL001C,YDR362C,b_affinitycapturewestern,16799,1
YAL001C,YDR362C,b_unknown,16801,1
YAL001C,YGR047C,b_affinitycapturems,16803,1
