Radium,Ra ,7 ,2 ,s ,88 ,[226] ,1.90 ,2.00
Rubidium,Rb ,5 ,1 ,s ,37 ,85.468 ,1.47 ,2.00
Rhenium,Re ,6 ,7 ,d ,75 ,186.207 ,1.35 ,2.00
Rutherfordium,Rf ,7 ,4 ,d ,104 ,[261] ,1.50 ,2.00
Rhodium,Rh ,5 ,9 ,d ,45 ,102.906 ,1.45 ,2.00
Radon,Rn ,6 ,18 ,p ,86 ,[222] ,1.50 ,2.00
Ruthenium,Ru ,5 ,8 ,d ,44 ,101.070 ,1.40 ,2.00
Sulphur,S ,3 ,16 ,p ,16 ,32.066 ,1.02 ,1.80
Antimony,Sb ,5 ,15 ,p ,51 ,121.760 ,1.46 ,2.00
Scandium,Sc ,4 ,3 ,d ,21 ,44.956 ,1.44 ,2.00
Selenium,Se ,4 ,16 ,p ,34 ,78.960 ,1.22 ,1.90
Seaborgium,Sg ,7 ,6 ,d ,106 ,[266] ,1.50 ,2.00
Silicon,Si ,3 ,14 ,p ,14 ,28.086 ,1.20 ,2.10
Samarium,Sm ,6Lan ,19 ,f ,62 ,150.360 ,1.80 ,2.00
Tin,Sn ,5 ,14 ,p ,50 ,118.71 ,1.46 ,2.17
Strontium,Sr ,5 ,2 ,s ,38 ,87.620 ,1.12 ,2.00
Tantalum,Ta ,6 ,5 ,d ,73 ,180.948 ,1.43 ,2.00
Terbium,Tb ,6Lan ,19 ,f ,65 ,158.925 ,1.76 ,2.00
Technetium,Tc ,5 ,7 ,d ,43 ,[98] ,1.35 ,2.00
Tellurium,Te ,5 ,16 ,p ,52 ,127.600 ,1.47 ,2.06
Thorium,Th ,7Act ,20 ,f ,90 ,232.038 ,1.79 ,2.00
Titanium,Ti ,4 ,4 ,d ,22 ,47.867 ,1.47 ,2.00
Thallium,Tl ,6 ,13 ,p ,81 ,204.383 ,1.55 ,1.96
Thulium,Tm ,6Lan ,19 ,f ,69 ,168.934 ,1.72 ,2.00
Uranium,U ,7Act ,20 ,f ,92 ,238.029 ,1.58 ,1.86
Vanadium,V ,4 ,5 ,d ,23 ,50.942 ,1.33 ,2.00
Tungsten,W ,6 ,6 ,d ,74 ,183.840 ,1.37 ,2.00
Xenon,Xe ,5 ,18 ,p ,54 ,131.290 ,1.50 ,2.16
Yttrium,Y ,5 ,3 ,d ,39 ,88.906 ,1.78 ,2.00
Ytterbium,Yb ,6Lan ,19 ,f ,70 ,173.040 ,1.94 ,2.00
Zinc,Zn ,4 ,12 ,d ,30 ,65.390 ,1.45 ,1.39
Zirconium,Zr ,5 ,4 ,d ,40 ,91.224 ,1.56 ,2.00
