YAR033W.unknown,YGL051W.unknown,inner,2,b_copurification,1,b_twohybrid,1
YML064C.spindle pole,YMR055C.spindle pole,inner,4,b_affinitycapturewestern,4,b_biochemicalactivity,1,b_reconstitutedcomplex,2,b_unknown,1
YML064C.spindle pole,YPL242C.bud neck,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YML064C.punctate composite,YPL242C.bud neck,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YAR019C.spindle pole,YML064C.spindle pole,inner,4,b_affinitycapturewestern,5,b_colocalization,1,b_twohybrid,1,b_unknown,2
YFR028C.nucleolus,YML064C.spindle pole,inter,3,b_affinitycapturewestern,1,b_reconstitutedcomplex,1,b_twohybrid,1
YFR028C.nucleolus,YML064C.punctate composite,inter,3,b_affinitycapturewestern,1,b_reconstitutedcomplex,1,b_twohybrid,1
YBR158W.cytoplasm,YML064C.spindle pole,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YBR158W.cytoplasm,YML064C.punctate composite,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YBR158W.nucleus,YML064C.spindle pole,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YBR158W.nucleus,YML064C.punctate composite,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YKR014C.cytoplasm,YML064C.spindle pole,inter,1,b_twohybrid,2
YKR014C.cytoplasm,YML064C.punctate composite,inter,1,b_twohybrid,2
YKR014C.nucleus,YML064C.spindle pole,inter,1,b_twohybrid,2
YKR014C.nucleus,YML064C.punctate composite,inter,1,b_twohybrid,2
YJR053W.spindle pole,YML064C.spindle pole,inner,5,b_affinitycapturems,2,b_affinitycapturewestern,6,b_biochemicalactivity,1,b_reconstitutedcomplex,2,b_unknown,1
YKL067W.cytoplasm,YML064C.spindle pole,inter,2,b_affinitycapturems,1,b_twohybrid,1
YKL067W.cytoplasm,YML064C.punctate composite,inter,2,b_affinitycapturems,1,b_twohybrid,1
YKL067W.nucleus,YML064C.spindle pole,inter,2,b_affinitycapturems,1,b_twohybrid,1
YKL067W.nucleus,YML064C.punctate composite,inter,2,b_affinitycapturems,1,b_twohybrid,1
YMR055C.spindle pole,YOR373W.spindle pole,inner,2,b_affinitycapturewestern,1,b_twohybrid,1
YFR028C.nucleolus,YMR055C.spindle pole,inter,2,b_affinitycapturewestern,1,b_reconstitutedcomplex,1
YLR314C.unknown,YMR055C.spindle pole,inter,2,b_reconstitutedcomplex,1,b_twohybrid,1
YHR061C.cytoplasm,YMR055C.spindle pole,inter,2,b_reconstitutedcomplex,1,b_twohybrid,3
YHR061C.nucleus,YMR055C.spindle pole,inter,2,b_reconstitutedcomplex,1,b_twohybrid,3
YJR053W.spindle pole,YMR055C.spindle pole,inner,1,b_affinitycapturewestern,3
YAR042W.unknown,YHR195W.nucleus,inter,2,b_affinitycapturewestern,1,b_colocalization,1
YAR042W.unknown,YHR195W.spindle pole,inter,2,b_affinitycapturewestern,1,b_colocalization,1
YDL015C.ER,YHR195W.nucleus,inter,2,b_affinitycapturewestern,1,b_colocalization,1
YDL015C.ER,YHR195W.spindle pole,inter,2,b_affinitycapturewestern,1,b_colocalization,1
YEL013W.vacuolar membrane,YHR195W.nucleus,inter,4,b_affinitycapturewestern,1,b_reconstitutedcomplex,1,b_twohybrid,2,b_unknown,1
YEL013W.vacuolar membrane,YHR195W.spindle pole,inter,4,b_affinitycapturewestern,1,b_reconstitutedcomplex,1,b_twohybrid,2,b_unknown,1
YAR064W.unknown,YBR109C.bud neck,inter,2,b_reconstitutedcomplex,1,b_unknown,1
YAR064W.unknown,YBR109C.cell periphery,inter,2,b_reconstitutedcomplex,1,b_unknown,1
YAR064W.unknown,YBR109C.bud,inter,2,b_reconstitutedcomplex,1,b_unknown,1
YBL002W.nucleus,YBR009C.nucleus,inner,1,b_cocrystalstructure,1
YBL002W.nucleus,YCL066W.unknown,inter,1,b_twohybrid,2
