YDL060W.cytoplasm,YDL060W.nucleus
YDL064W.cytoplasm,YDL064W.nucleus
YDL097C.cytoplasm,YDL097C.nucleus
YDL110C.cytoplasm,YDL110C.nucleus
YDL111C.cytoplasm,YDL111C.nucleus
YDL111C.cytoplasm,YDL111C.nucleolus
YDL111C.nucleus,YDL111C.nucleolus
YDL115C.cytoplasm,YDL115C.nucleus
YDL117W.cytoplasm,YDL117W.bud neck
YDL125C.cytoplasm,YDL125C.nucleus
YDL126C.cytoplasm,YDL126C.nucleus
YDL132W.cytoplasm,YDL132W.nucleus
YDL134C.cytoplasm,YDL134C.nucleus
YDL135C.cytoplasm,YDL135C.nucleus
YDL137W.early Golgi,YDL137W.late Golgi
YDL145C.early Golgi,YDL145C.Golgi
YDL146W.cytoplasm,YDL146W.bud neck
YDL146W.cytoplasm,YDL146W.cell periphery
YDL146W.bud neck,YDL146W.cell periphery
YDL146W.cytoplasm,YDL146W.bud
YDL146W.bud neck,YDL146W.bud
YDL146W.cell periphery,YDL146W.bud
YDL155W.cytoplasm,YDL155W.nucleus
YDL156W.cytoplasm,YDL156W.nucleus
YDL164C.nucleus,YDL164C.mitochondrion
YDL188C.cytoplasm,YDL188C.nucleus
YDL189W.cytoplasm,YDL189W.punctate composite
YDL190C.cytoplasm,YDL190C.nucleus
YDL192W.early Golgi,YDL192W.late Golgi
YDL192W.early Golgi,YDL192W.punctate composite
YDL192W.late Golgi,YDL192W.punctate composite
YDL220C.cytoplasm,YDL220C.nucleus
YDL225W.bud neck,YDL225W.cell periphery
YDL235C.cytoplasm,YDL235C.nucleus
YDL240W.cytoplasm,YDL240W.bud neck
YDL240W.cytoplasm,YDL240W.cell periphery
YDL240W.bud neck,YDL240W.cell periphery
YDR004W.cytoplasm,YDR004W.nucleus
YDR005C.cytoplasm,YDR005C.nucleus
YDR027C.early Golgi,YDR027C.punctate composite
YDR043C.cytoplasm,YDR043C.nucleus
YDR051C.cytoplasm,YDR051C.nucleus
